Time,Memory (MB)
1676330709.287659,3267
1676330710.311952,3277
1676330711.4069757,3267
1676330712.5238838,3271
1676330713.6171556,3268
1676330714.8950717,3275
1676330716.077058,3298
1676330717.3850741,3291
1676330718.5754542,3269
1676330719.8891628,3284
1676330720.9610488,3278
1676330722.117035,3273
1676330723.2852027,3270
1676330724.5611928,3278
1676330725.8613603,3283
1676330726.8831017,3291
1676330728.051067,3283
1676330729.1874552,3282
1676330730.293055,3275
1676330731.3596885,3280
1676330732.6874335,3289
1676330733.9471424,3290
1676330735.045399,3281
1676330736.1681268,3284
1676330737.2165854,3281
1676330738.2372386,3290
1676330739.3075304,3282
1676330740.5302856,3288
1676330741.664723,3289
1676330742.7852309,3290
1676330743.8170989,3276
1676330744.9491801,3279
1676330746.1210418,3285
1676330747.404068,3286
1676330748.5421627,3278
1676330749.7527816,3278
1676330750.95024,3269
1676330752.1464753,3278
1676330753.2165751,3276
1676330754.3054206,3277
1676330755.437452,3272
1676330756.76923,3272
1676330757.834817,3286
1676330758.991582,3291
1676330760.1545384,3278
1676330761.262311,3280
1676330762.3832662,3282
1676330763.5730402,3276
1676330764.689122,3278
1676330765.9069018,3266
1676330766.9490929,3278
1676330767.9982018,3278
1676330769.0810287,3273
1676330770.4056509,3276
1676330771.469071,3276
1676330772.5691452,3284
1676330773.8037994,3291
1676330774.8571992,3287
1676330776.0838692,3299
1676330777.1254196,3287
1676330778.183123,3281
1676330779.2577612,3271
1676330780.3058836,3265
1676330781.418107,3277
1676330782.4767864,3274
1676330783.8299298,3280
1676330784.85761,3289
1676330786.3176663,3282
1676330787.5604775,3280
1676330788.6278853,3278
1676330789.8306553,3267
1676330790.9852514,3268
1676330792.2532506,3271
1676330793.2981722,3268
1676330794.5259151,3290
1676330795.7643745,3302
1676330796.8888085,3306
1676330798.0251565,3293
1676330799.1636474,3284
1676330800.2429185,3281
1676330801.400271,3291
1676330802.6144106,3279
1676330803.852982,3285
1676330804.9238758,3299
1676330806.0383055,3291
1676330807.3388135,3284
1676330808.5467765,3284
1676330809.6557186,3287
1676330810.8250637,3289
1676330811.9132383,3296
1676330813.0690541,3277
1676330814.232978,3282
1676330815.3786883,3285
1676330816.5277262,3291
1676330817.7450337,3294
1676330818.987499,3294
1676330820.086207,3296
1676330821.097026,3279
1676330822.4046786,3276
1676330823.4291794,3281
1676330824.6835203,3281
1676330825.8438015,3284
1676330827.0852206,3292
1676330828.2364066,3291
1676330829.3450913,3291
1676330830.4159389,3280
1676330831.4953823,3283
1676330832.7372932,3286
1676330833.799445,3298
1676330834.8357453,3282
1676330836.014544,3291
1676330837.151665,3271
